Name	Set	ImageFile	Type	Subtype/Race	Cost	T.Cost	ATK	DEF	Attribute	Rarity	Cardtext
Siegfried, the Knight Commander	1	EN1-001,EN1-001-j	Ruler				0//1500	0//800	Light	R	[J-Activate] Pay {4} and discard 3 cards from your hand. <br />[Continuous] Free cost for [Race:Dragon] resonator you play costs {1} less to play.//[Continuous] Your [Race:Dragon] resonators gain [+200/+0]. <br />[Enter] You may put any number of [Race:Dragon] resonator cards from your hand into your field. <br />[Activate] Pay {2}: This card gains [+0/+300] until end of turn.
Arthur, the King of Knights	1	EN1-002,EN1-002-j	Ruler				0//800	0//800	Light	R	"[J-Activate] Pay {W}{W}{W}{2} <br />[Continuous] Your [Race:Knight of the Round Table] resonators gain: ""[Activate] {Rest}: Produce {W}."". <br />[Activate] {Rest}: Activate only at the beginning of your opponent's battle phase. Recover target [Race:Knight of the Round Table] resonator. It gains [+0/+500] until end of turn.//[Continuous] Your [Race:Knight of the Round Table] resonators gain [+100/+100]. <br />[Enter] You may put any number of [Addition:Resonator] cards from your hand and/or your graveyard on this card. <br />[Continuous] Each [Addition:Resonator] on this card affects this card as though this card is a resonator. <br />[Activate] {Rest}: Produce {W} for each [Race:Knight of the Round Table] resonator in your field."
Commander of the Flash Knights	1	EN1-003,EN1-003-j	Ruler				0//1000	0/1000	Light	R	[J-Activate] Pay {0}. You can activate this if you have four or more resonators in your field. <br />[Activate] {Rest}: Target resonator gains [Target Attack] until end of turn.//[Pierce] <br />[Target Attack] <br />[Enter] This card can attack on the turn you did judgement. Resonators in your field gain [+200/+200] until end of turn. At the end of turn, recover all resonators in your field.
Wandering Knight	1	EN1-004	Resonator	Knight	[w]	1	200	200	Light	U	[Break] Reveal the top card of your magic stone deck. Then you may shuffle it. <br />[Activate] {Rest}: Produce {W}.
Lofty Knight	1	EN1-005	Resonator	Knight of the Round Table	[w]	1	200	200	Light	C	[Break] Put this card into your field.
Knight Errant	1	EN1-006	Resonator	Knight	[w][1]	2	200	200	Light	U	[Activate] {Rest}: Activate only at the beginning of your opponent's battle phase. Rest target resonator.
Order of Gartar	1	EN1-007	Resonator	Knight of the Round Table	[w][1]	2	400	400	Light	C	[Break] Put  this card into your field.
Suicidal Knights	1	EN1-008	Resonator	Knight	[w][w]	2	400	400	Light	U	[Target Attack]
Tristan, the Lusting Knight	1	EN1-009	Resonator	Knight of the Round Table	[w][w][1]	3	600	600	Light	R	[Activate] Pay {W}{W}, banish this card: Destroy target rested resonator.
Mordred, the Dueling Knight	1	EN1-010	Resonator	Knight of the Round Table	[w][w][1]	3	400	400	Light	U	[Continuous] Resonator battle with this card gains [-300/-300] until end of turn.
Garahad, the Oracle Knight	1	EN1-011	Resonator	Knight of the Round Table	[w][w][1]	3	600	500	Light	R	[Continuous] When this card deals damage to your opponent, you gain life equal to that damage.
Shield Bearer of the Kingdom	1	EN1-012	Resonator	Knight of the Round Table	[w][2]	3	200	800	Light	C	[Break] Put this card into your field.
Lanslot, the Knight of the Lake	1	EN1-013	Resonator	Knight of the Round Table	[w][w][2]	4	800	600	Light	R	[Target Attack] <br />[Activate] Pay {W}{W}: Choose an [Addition:Resonator] in a field and add it on this card.
Hardworking Followers	1	EN1-014	Resonator	Crowd	[w][1]	2	400	400	Light	C	[Break] Target resonator gains [+0/+500] until end of turn. <br />[Activate] {Rest}: Target resonator gains [+0/+300] until end of turn.
Ironwall Monk	1	EN1-015	Resonator	Monk	[w][2]	3	600	600	Light	C	[Break] Rest target resonator. <br />[Activate] {Rest}, banish this card: Target resonator cannot be dealt any battle damage until end of turn.
Kingdom Alchemist Wizards Force	1	EN1-016	Resonator	Wizard	[w]	1	200	200	Light	C	[Break] Put this card into your field. <br />[Enter] Reveal the top card of your magic stone deck. Then you may shuffle it.
Healing Master	1	EN1-017	Resonator	Wizard	[w][1]	2	400	400	Light	C	[Break] You gain 500 life. <br />[Enter] You gain 500 life.
Glorious Lion	1	EN1-018	Resonator	Lion	[w]	1	400	200	Light	R	[Break] Put this card into your field.
Sleeping Lion	1	EN1-019	Resonator	Lion	[w][w][2]	4	800	800	Light	C	
Snowwhite, the White Scale Dragon	1	EN1-020	Resonator	Dragon	[w][w][4]	6	1000	1000	Light	R	[Continuous] Other resonators gain [-200/-0]. <br />[Continuous] At the end of your turn, recover this card.
